,id_old,gemeentenaam,codering,indelingswijziging_wijken_en_buurten,aantal_installaties_bij_woningen,aantal_zonnepanelen_per_installatie,opgesteld_vermogen_van_zonnepanelen,totaal_aantal_laadpalen,werkloosheidsuitkering_relatief,bijstandsuitkering_relatief,arbeidsongeschiktheidsuitkering_relatief,aow_uitkering_relatief,inwoners_vanaf_15_jaar,inwoners_vanaf_15_jr_tot_aow_leeftijd,inwoners_vanaf_de_aow_leeftijd
2173,1006,Bergen(NH),BU03730116,1.0,32.0,14.0,97.0,1.0,65.0,20.0,130.0,1565.0,2770.0,1680.0,1090.0
13299,1007,Strijen,WK061700,1.0,272.0,14.0,810.0,3.0,60.0,45.0,160.0,960.0,30420.0,23150.0,7260.0
5576,1000,Goirle,BU07850304,1.0,5.0,17.0,20.0,0.0,70.0,0.0,80.0,1115.0,400.0,280.0,120.0
9282,1004,Leusden,WK032703,1.0,92.0,18.0,358.0,3.0,85.0,40.0,140.0,1065.0,8730.0,6400.0,2330.0
9040,1001,Lelystad,BU09951331,1.0,6.0,,,0.0,30.0,60.0,60.0,435.0,240.0,240.0,40.0
9961,1004,Menterwolde,BU19870300,1.0,179.0,14.0,618.0,4.0,105.0,230.0,340.0,920.0,15500.0,11910.0,3590.0
3808,1005,Dinkelland,WK177413,1.0,12.0,45.0,119.0,0.0,30.0,0.0,160.0,905.0,1850.0,1440.0,420.0
4876,1003,Emmen,BU01144500,1.0,37.0,,,0.0,140.0,260.0,285.0,990.0,3360.0,2530.0,840.0
3745,1003,Deventer,WK015012,1.0,185.0,15.0,659.0,2.0,85.0,50.0,140.0,960.0,18020.0,13660.0,4360.0
7794,1004,Hoogezand-Sappemeer,BU00180101,1.0,109.0,17.0,424.0,0.0,115.0,325.0,375.0,1050.0,11200.0,8250.0,2950.0
